renewable energy generation percentage,non-renewable energy generation percentage,date
0.2854405605807952,0.7145594394192047,2016-11-24
0.3557231804818365,0.6442768195181635,2016-11-25
0.3034006116546673,0.6965993883453327,2016-11-26
0.2284394096213929,0.7715605903786071,2016-11-27
0.24364372472432325,0.7563562752756767,2016-11-28
0.36948496090054134,0.6305150390994587,2016-11-29
0.2325499094444634,0.7674500905555366,2016-11-30
0.20363822688320166,0.7963617731167983,2016-12-01
0.3087138618578831,0.6912861381421169,2016-12-02
0.38683376474196535,0.6131662352580347,2016-12-03
0.27687451305126254,0.7231254869487375,2016-12-04
0.20742485044422965,0.7925751495557704,2016-12-05
0.2311770723891402,0.7688229276108598,2016-12-06
0.31223456046839293,0.6877654395316071,2016-12-07
0.335564168414917,0.664435831585083,2016-12-08
0.28217890812056984,0.7178210918794301,2016-12-09
0.2406855728845066,0.7593144271154935,2016-12-10
0.2000195377992649,0.7999804622007352,2016-12-11
0.1956163214321236,0.8043836785678764,2016-12-12
0.22588429894762643,0.7741157010523736,2016-12-13
0.22859228220821104,0.771407717791789,2016-12-14
0.2815891839366153,0.7184108160633846,2016-12-15
0.39700329313362154,0.6029967068663784,2016-12-16
0.3622748075220665,0.6377251924779335,2016-12-17
0.33316072678047803,0.666839273219522,2016-12-18
0.3083416908243393,0.6916583091756607,2016-12-19
0.2799833468520886,0.7200166531479114,2016-12-20
0.20789734621379366,0.7921026537862064,2016-12-21
0.21415605818634392,0.785843941813656,2016-12-22
0.24605694985857446,0.7539430501414255,2016-12-23
0.22522262935855458,0.7747773706414454,2016-12-24
0.22103022091183777,0.7789697790881622,2016-12-25
0.22047269985534437,0.7795273001446557,2016-12-26
0.23884421247479115,0.7611557875252088,2016-12-27
0.230609564605155,0.769390435394845,2016-12-28
0.20231530530165978,0.7976846946983402,2016-12-29
0.20111394138835306,0.798886058611647,2016-12-30
0.2609231698297916,0.7390768301702084,2017-01-01
0.24842437591933011,0.7515756240806699,2017-01-02
0.29464497722425564,0.7053550227757444,2017-01-03
0.3179933626829295,0.6820066373170706,2017-01-04
0.26466419089648735,0.7353358091035127,2017-01-05
0.2657491837860841,0.7342508162139159,2017-01-06
0.2994630930348594,0.7005369069651406,2017-01-07
0.30830692714477137,0.6916930728552286,2017-01-08
0.40359158805363926,0.5964084119463607,2017-01-09
0.33883153912972247,0.6611684608702775,2017-01-10
0.3368024699704367,0.6631975300295633,2017-01-11
0.38050077110512204,0.619499228894878,2017-01-12
0.36342709869783496,0.636572901302165,2017-01-13
0.381072242127445,0.6189277578725549,2017-01-14
0.425604504333228,0.5743954956667721,2017-01-15
0.4449065544959424,0.5550934455040576,2017-01-16
0.36752062587728623,0.6324793741227137,2017-01-17
0.327062029111263,0.6729379708887371,2017-01-18
